[2024-10-16 21:04:14] info: 	z2m: Logging to console, file (filename: log.log)
[2024-10-16 21:04:14] info: 	z2m: Starting Zigbee2MQTT version 1.40.2 (commit #e06848d)
[2024-10-16 21:04:14] info: 	z2m: Starting zigbee-herdsman (2.1.3)
[2024-10-16 21:04:14] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyACM0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-10-16 21:04:14] info: 	zh:zstack:znp: Serialport opened
[2024-10-16 21:04:14] info: 	z2m: zigbee-herdsman started (resumed)
[2024-10-16 21:04:14] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":2,"majorrel":2,"minorrel":7,"product":2,"revision":20200211,"transportrev":2},"type":"zStack30x"}'
[2024-10-16 21:04:14] info: 	z2m: Розетка котла (0x00158d00039e22ad): ZNCZ02LM - Xiaomi Mi smart plug (Router)
[2024-10-16 21:04:14] info: 	z2m: Вимикач освітлення сходів (0x00158d00014a6581): QBKG11LM - Aqara Smart wall switch (with neutral, single rocker) (Router)
[2024-10-16 21:04:15] info: 	z2m: Освітлення комори та гаражу (0x00158d000490abbb): QBKG12LM - Aqara Smart wall switch (with neutral, double rocker) (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Датчика відкриття вхідних дверей (0x00158d0003cd58b6): MCCGQ11LM - Aqara Door and window sensor (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Датчик дверей гаражу (0x00158d00032198ab): MCCGQ11LM - Aqara Door and window sensor (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Датчик руху до гаражу (0x00158d0003021258): RTCGQ11LM - Aqara Motion sensor (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Бойлер (0x187a3efffe479508): TO-Q-SY1-JZT - Tongou Din smart relay (with power monitoring via polling) (Router)
[2024-10-16 21:04:15] info: 	z2m: Датчик дверей підвалу (0x00158d00032b8810): MCCGQ11LM - Aqara Door and window sensor (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Датчик протікання води у ванній (0x00158d0004447ad2): SJCGQ11LM - Aqara Water leak sensor (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Датчик протікання води у підвалі (0x00158d0004447a4c): SJCGQ11LM - Aqara Water leak sensor (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Повторювач над холодильником (0x00124b0014d9a2a8): CC2530.ROUTER - Custom devices (DiY) CC2530 router (Router)
[2024-10-16 21:04:15] info: 	z2m: Температура у кухні (0x00158d0003230730): WSDCGQ11LM - Aqara Temperature and humidity sensor (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Кнопка дзвінка (0x00158d00044b62d1): WXKG11LM - Aqara Wireless mini switch (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Датчик руху на сходах (0x00158d00036c1dc2): RTCGQ11LM - Aqara Motion sensor (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Дзвінок на вулиці (0x00158d00042bf9b9): WXKG11LM - Aqara Wireless mini switch (EndDevice)
[2024-10-16 21:04:15] info: 	z2m: Currently 15 devices are joined.
[2024-10-16 21:04:15] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-10-16 21:04:15] warning: 	z2m: Allowing new devices to join.
[2024-10-16 21:04:15] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-10-16 21:04:15] info: 	z2m: Zigbee: allowing new devices to join.
[2024-10-16 21:04:15] info: 	z2m: Connecting to MQTT server at mqtt://127.0.0.1
[2024-10-16 21:04:15] info: 	z2m: Connected to MQTT server
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-10-16 21:04:15] info: 	z2m: Started frontend on port 8090
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Розетка котла', payload '{"consumption":8.065908432006836,"device_temperature":32,"energy":8.07,"linkquality":0,"power":0,"power_outage_count":1261,"state":"OFF"}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"consumption":8.920431137084961,"device_temperature":17,"energy":8.92,"linkquality":0,"power":0,"power_outage_count":1133,"state":"OFF"}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"consumption":37.095726013183594,"device_temperature":13,"energy":37.1,"linkquality":0,"power":0,"power_outage_count":636,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Датчика відкриття вхідних дверей', payload '{"battery":90,"contact":true,"device_temperature":15,"linkquality":0,"power_outage_count":1394,"trigger_count":38,"voltage":2985}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Датчик дверей гаражу', payload '{"battery":100,"contact":true,"device_temperature":13,"linkquality":0,"power_outage_count":818,"trigger_count":4,"voltage":3265}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Датчик руху до гаражу', payload '{"illuminance":0,"illuminance_lux":0,"linkquality":0,"occupancy":false}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Бойлер', payload '{"current":0,"energy":290.11,"linkquality":0,"power":0,"state":"ON","voltage":250}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Датчик дверей підвалу', payload '{"battery":90,"contact":true,"device_temperature":16,"linkquality":0,"power_outage_count":787,"trigger_count":0,"voltage":2985}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Датчик протікання води у ванній', payload '{"battery":100,"device_temperature":21,"linkquality":0,"power_outage_count":15,"trigger_count":0,"voltage":3285}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Датчик протікання води у підвалі', payload '{"battery":100,"device_temperature":19,"linkquality":0,"power_outage_count":176,"trigger_count":0,"voltage":3015}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Повторювач над холодильником', payload '{"led":false,"linkquality":0}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Температура у кухні', payload '{"battery":100,"humidity":77.59,"linkquality":0,"power_outage_count":37132,"pressure":994,"temperature":19.85,"voltage":3015}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Кнопка дзвінка', payload '{"battery":97,"device_temperature":16,"linkquality":0,"power_outage_count":932,"voltage":2995}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Датчик руху на сходах', payload '{"battery":100,"device_temperature":13,"illuminance":1,"illuminance_lux":1,"linkquality":0,"occupancy":false,"power_outage_count":370,"voltage":3015}'
[2024-10-16 21:04:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Дзвінок на вулиці', payload '{"linkquality":0}'
[2024-10-16 21:04:15] info: 	z2m: Zigbee2MQTT started!
[2024-10-16 21:04:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"consumption":37.095726013183594,"device_temperature":13,"energy":37.1,"linkquality":0,"power":0,"power_outage_count":636,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 21:04:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Повторювач над холодильником', payload '{"led":false,"linkquality":0}'
[2024-10-16 21:05:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Температура у кухні', payload '{"battery":100,"humidity":74.54,"linkquality":0,"power_outage_count":37132,"pressure":994.5,"temperature":19.75,"voltage":3065}'
[2024-10-16 21:05:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Бойлер', payload '{"current":0,"energy":290.11,"linkquality":0,"power":0,"state":"ON","voltage":250}'
[2024-10-16 21:05:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Повторювач над холодильником', payload '{"led":false,"linkquality":0}'
[2024-10-16 21:06:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Бойлер', payload '{"current":0,"energy":290.11,"linkquality":0,"power":0,"state":"ON","voltage":251}'
[2024-10-16 21:06:42] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Повторювач над холодильником', payload '{"led":false,"linkquality":0}'
[2024-10-16 21:06:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Розетка котла', payload '{"consumption":8.065908432006836,"device_temperature":32,"energy":8.07,"linkquality":0,"power":0,"power_outage_count":1261,"state":"OFF"}'
[2024-10-16 21:07:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Датчик руху до гаражу', payload '{"battery":100,"device_temperature":9,"illuminance":3,"illuminance_lux":3,"linkquality":0,"occupancy":false,"power_outage_count":394,"voltage":3185}'
[2024-10-16 21:07:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Бойлер', payload '{"current":0,"energy":290.11,"linkquality":0,"power":0,"state":"ON","voltage":250}'
[2024-10-16 21:07:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"offline"}'
[2024-10-16 21:07:36] info: 	z2m: Disconnecting from MQTT server
[2024-10-16 21:07:36] info: 	z2m: Stopping zigbee-herdsman...
[2024-10-16 21:07:37] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2024-10-16 21:07:37] info: 	zh:zstack:znp: closing
[2024-10-16 21:07:37] info: 	zh:zstack:znp: Port closed
[2024-10-16 21:07:37] info: 	z2m: Stopped zigbee-herdsman
[2024-10-16 21:07:37] info: 	z2m: Stopped Zigbee2MQTT
